date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,symbol,year,revenue,net_income,operating_income,gross_profit,total_assets,total_liabilities,long_term_debt,cash_and_equivalents,operating_cashflow,capital_expenditures,real_gdp,real_gdp_per_capita,cpi,inflation,unemployment,federal_funds_rate,retail_sales,treasury_yield_10y
2024-03-06,880.22,897.24,870.3001,887.0,88.6553997454838,58252030,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,312.332,4.11633838374488,3.9,5.33,597695.0,4.21
2024-03-07,901.58,927.67,896.0201,926.69,92.6224040475111,60811916,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,312.332,4.11633838374488,3.9,5.33,597695.0,4.21
2024-03-08,951.379,974.0,865.06,875.28,87.4839890521162,114226906,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,312.332,4.11633838374488,3.9,5.33,597695.0,4.21
2024-03-11,864.29,887.97,841.66,857.74,85.7308710007793,66611510,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,312.332,4.11633838374488,3.9,5.33,597695.0,4.21
2024-03-12,880.49,919.6,861.501,919.13,91.8667841804583,65437480,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,312.332,4.11633838374488,3.9,5.33,597695.0,4.21
2024-03-13,910.55,915.04,884.35,908.88,90.8422995723509,62726626,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,312.332,4.11633838374488,3.9,5.33,597695.0,4.21
2024-03-14,895.77,906.46,866.0,879.44,87.8997798784309,59711081,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,312.332,4.11633838374488,3.9,5.33,597695.0,4.21
2024-03-15,869.3,895.46,862.57,878.365,87.792333931727,64208616,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,312.332,4.11633838374488,3.9,5.33,597695.0,4.21
2024-03-18,903.88,924.05,870.85,884.55,88.4105229367166,66897593,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,312.332,4.11633838374488,3.9,5.33,597695.0,4.21
2024-03-19,867.0,905.44,850.1,893.98,89.3530487761754,67217127,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,312.332,4.11633838374488,3.9,5.33,597695.0,4.21
2024-03-20,897.97,904.1,882.23,903.72,90.326559028172,47906279,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,312.332,4.11633838374488,3.9,5.33,597695.0,4.21
2024-03-21,923.0,926.48,904.05,914.35,91.3890245290677,48037231,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,312.332,4.11633838374488,3.9,5.33,597695.0,4.21
2024-03-22,911.41,947.7799,908.3401,942.89,94.24158947691,58671936,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,312.332,4.11633838374488,3.9,5.33,597695.0,4.21
2024-03-25,939.41,967.6599,935.1,950.02,94.9542309652813,55213608,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,312.332,4.11633838374488,3.9,5.33,597695.0,4.21
2024-03-26,958.51,963.75,925.02,925.61,92.5144583522178,51364758,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,312.332,4.11633838374488,3.9,5.33,597695.0,4.21
2024-03-27,931.12,932.4,891.23,902.5,90.2046203723778,58606723,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,312.332,4.11633838374488,3.9,5.33,597695.0,4.21
2024-03-28,900.0,913.0,891.93,903.56,90.3105670733138,43521227,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,312.332,4.11633838374488,3.9,5.33,597695.0,4.21
2024-04-01,902.99,922.25,892.04,903.63,90.3175635535643,44811733,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,313.548,4.11633838374488,3.9,5.33,593774.0,4.54
2024-04-02,884.48,900.94,876.2,894.52,89.407021623822,43137935,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,313.548,4.11633838374488,3.9,5.33,593774.0,4.54
2024-04-03,884.84,903.74,884.0,889.64,88.9192670006451,36759126,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,313.548,4.11633838374488,3.9,5.33,593774.0,4.54
2024-04-04,904.06,906.3399,858.8,859.05,85.8618051311813,42886990,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,313.548,4.11633838374488,3.9,5.33,593774.0,4.54
2024-04-05,868.66,884.81,859.26,880.08,87.963747697864,39772878,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,313.548,4.11633838374488,3.9,5.33,593774.0,4.54
2024-04-08,887.0,888.3,867.32,871.33,87.0891876665528,27907532,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,313.548,4.11633838374488,3.9,5.33,593774.0,4.54
2024-04-09,874.42,876.35,830.22,853.54,85.31108218575,49977974,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,313.548,4.11633838374488,3.9,5.33,593774.0,4.54
2024-04-10,839.26,874.0,837.09,870.39,86.9952349317606,43192853,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,313.548,4.11633838374488,3.9,5.33,593774.0,4.54
2024-04-11,874.2,907.3899,869.26,906.16,90.5704363397605,43163727,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,313.548,4.11633838374488,3.9,5.33,593774.0,4.54
2024-04-12,896.99,901.7499,875.3,881.86,88.1416581956621,42680479,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,313.548,4.11633838374488,3.9,5.33,593774.0,4.54
2024-04-15,890.98,906.13,859.2901,860.01,85.9577568603309,44307695,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,313.548,4.11633838374488,3.9,5.33,593774.0,4.54
2024-04-16,864.325,881.18,860.639,874.15,87.3710458709297,37045302,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,313.548,4.11633838374488,3.9,5.33,593774.0,4.54
2024-04-17,883.4,887.75,839.5,840.35,83.9927454071221,49539951,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,313.548,4.11633838374488,3.9,5.33,593774.0,4.54
2024-04-18,849.7,861.8999,824.02,846.71,84.628425612738,44726034,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,313.548,4.11633838374488,3.9,5.33,593774.0,4.54
2024-04-19,831.5,843.24,756.06,762.0,76.1616850124675,87519800,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,313.548,4.11633838374488,3.9,5.33,593774.0,4.54
2024-04-22,781.04,800.73,764.0,795.18,79.4780166511993,59634051,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,313.548,4.11633838374488,3.9,5.33,593774.0,4.54
2024-04-23,807.69,827.69,802.64,824.23,82.3815559551523,43855937,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,313.548,4.11633838374488,3.9,5.33,593774.0,4.54
2024-04-24,839.5,840.82,791.83,796.77,79.6369367026033,51220753,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,313.548,4.11633838374488,3.9,5.33,593774.0,4.54
2024-04-25,788.6801,833.2299,782.23,826.32,82.5904508654883,42464073,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,313.548,4.11633838374488,3.9,5.33,593774.0,4.54
2024-04-26,838.18,883.3093,833.87,877.35,87.6908849680949,55101078,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,313.548,4.11633838374488,3.9,5.33,593774.0,4.54
2024-04-29,875.95,879.92,852.66,877.57,87.712873906025,38897076,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,313.548,4.11633838374488,3.9,5.33,593774.0,4.54
2024-04-30,872.4,888.19,863.0,864.02,86.3585552289661,36370870,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,313.548,4.11633838374488,3.9,5.33,593774.0,4.54
2024-05-01,850.77,860.0,812.5456,830.41,82.9992452115526,55986317,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,314.069,4.11633838374488,4.0,5.33,631832.0,4.48
2024-05-02,844.49,862.37,832.0,858.17,85.7738493794609,37789754,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,314.069,4.11633838374488,4.0,5.33,631832.0,4.48
2024-05-03,877.89,892.81,870.4,887.89,88.7443549943828,39834072,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,314.069,4.11633838374488,4.0,5.33,631832.0,4.48
2024-05-06,893.9,922.2,890.55,921.4,92.0936700400099,37620255,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,314.069,4.11633838374488,4.0,5.33,631832.0,4.48
2024-05-07,910.98,917.8099,890.11,905.54,90.5084675146848,43734161,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,314.069,4.11633838374488,4.0,5.33,631832.0,4.48
2024-05-08,894.825,911.94,894.2,904.12,90.3665389153177,32572102,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,314.069,4.11633838374488,4.0,5.33,631832.0,4.48
2024-05-09,905.29,910.72,882.31,887.47,88.7023761128799,37801268,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,314.069,4.11633838374488,4.0,5.33,631832.0,4.48
2024-05-10,903.045,914.01,892.27,898.78,89.8328074219232,33532541,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,314.069,4.11633838374488,4.0,5.33,631832.0,4.48
2024-05-13,904.78,909.98,885.29,903.99,90.3535454519953,28968017,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,314.069,4.11633838374488,4.0,5.33,631832.0,4.48
2024-05-14,895.99,916.51,889.34,913.56,91.3100642519551,29650708,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,314.069,4.11633838374488,4.0,5.33,631832.0,4.48
2024-05-15,924.72,948.62,915.99,946.3,94.5824180148267,41773545,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,314.069,4.11633838374488,4.0,5.33,631832.0,4.48
2024-05-16,949.1,958.1899,941.03,943.59,94.3115542794149,32395182,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,314.069,4.11633838374488,4.0,5.33,631832.0,4.48
2024-05-17,943.69,947.4,918.06,924.79,92.4324995835693,35969103,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,314.069,4.11633838374488,4.0,5.33,631832.0,4.48
2024-05-20,937.5,952.0,934.4,947.8,94.7323425916229,31876446,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,314.069,4.11633838374488,4.0,5.33,631832.0,4.48
2024-05-21,935.99,954.0,931.8,953.86,95.3380378818795,32894646,0.0,1.0,NVDA,2024.0,22103000000.0,12285000000.0,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0,22723.719,68504.0,314.069,4.11633838374488,4.0,5.33,631832.0,4.48
