date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-03-28,275.79,276.14,272.0451,275.23,270.005031043325,21878647,0.0,1.0
2023-03-29,278.96,281.1398,278.41,280.51,275.184795472743,25087032,0.0,1.0
2023-03-30,284.23,284.46,281.48,284.05,278.65759207883,25053410,0.0,1.0
2023-03-31,283.73,289.27,283.0,288.3,282.826910038116,32765976,0.0,1.0
2023-04-03,286.52,288.27,283.95,287.23,281.777222928366,24883342,0.0,1.0
2023-04-04,287.23,290.4499,285.67,287.18,281.728172128845,25824299,0.0,1.0
2023-04-05,285.85,287.15,282.92,284.34,278.942086716052,22064770,0.0,1.0
2023-04-06,283.21,292.08,282.03,291.6,286.064262806502,29770334,0.0,1.0
2023-04-10,289.208,289.6,284.71,289.39,283.896217467674,23102994,0.0,1.0
2023-04-11,285.75,285.98,281.64,282.83,277.460752570518,27276589,0.0,1.0
2023-04-12,284.79,287.01,281.96,283.49,278.108223124195,27403432,0.0,1.0
2023-04-13,283.59,289.9,283.17,289.84,284.337674663363,24222678,0.0,1.0
2023-04-14,287.0,288.48,283.69,286.14,280.707915498808,20987917,0.0,1.0
2023-04-17,289.93,291.6,286.16,288.8,283.317418033326,23791151,0.0,1.0
2023-04-18,291.57,291.755,287.01,288.37,282.895581157445,20161845,0.0,1.0
2023-04-19,285.99,289.05,284.54,288.45,282.974062436679,17150271,0.0,1.0
2023-04-20,285.25,289.03,285.08,286.11,280.678485019096,23244363,0.0,1.0
2023-04-21,285.01,286.27,283.0608,285.76,280.335129422449,21676387,0.0,1.0
2023-04-24,282.09,284.95,278.72,281.77,276.420875620672,26611014,0.0,1.0
2023-04-25,279.51,281.6,275.37,275.42,270.191424081505,45772236,0.0,1.0
2023-04-26,296.7,299.57,292.73,295.37,289.762693090386,64481117,0.0,1.0
2023-04-27,295.97,305.2,295.25,304.83,299.04310435976,46462638,0.0,1.0
2023-04-28,304.01,308.93,303.31,307.26,301.426973216481,36469613,0.0,1.0
2023-05-01,306.97,308.6,305.15,305.56,299.759246032767,21294115,0.0,1.0
2023-05-02,307.76,309.18,303.91,305.41,299.612093634204,26404431,0.0,1.0
2023-05-03,306.62,308.61,304.09,304.4,298.621267483879,22360754,0.0,1.0
2023-05-04,306.24,307.7626,303.4,305.41,299.612093634204,22519907,0.0,1.0
2023-05-05,305.72,311.97,304.27,310.65,304.752617424005,28197052,0.0,1.0
2023-05-08,310.13,310.2,306.09,308.65,302.790585443165,21318613,0.0,1.0
2023-05-09,308.0,310.04,306.31,307.0,301.171909058972,21340829,0.0,1.0
2023-05-10,308.62,313.0,307.67,312.31,306.381103968102,30078044,0.0,1.0
2023-05-11,310.1,311.12,306.2601,310.11,304.222868789178,31680179,0.0,1.0
2023-05-12,310.55,310.65,306.6,308.97,303.104510560099,19774696,0.0,1.0
2023-05-15,309.095,309.905,307.59,309.46,303.585208395405,16336547,0.0,1.0
2023-05-16,309.83,313.71,309.83,311.74,305.821924853563,26730347,0.0,1.0
2023-05-17,312.29,314.43,310.74,314.0,308.706111865398,24315012,0.68,1.0
2023-05-18,314.53,319.04,313.72,318.52,313.149906851486,27275991,0.0,1.0
2023-05-19,316.74,318.75,316.37,318.34,312.972941564429,27546701,0.0,1.0
2023-05-22,318.6,322.59,318.01,321.18,315.765060537989,24115664,0.0,1.0
2023-05-23,320.03,322.72,315.25,315.26,309.944868874794,30797173,0.0,1.0
2023-05-24,314.73,316.5,312.61,313.85,308.558640792851,23384887,0.0,1.0
2023-05-25,323.24,326.9,320.0,325.92,320.425146430479,43301743,0.0,1.0
2023-05-26,324.02,333.4,323.88,332.89,327.277635601504,36630633,0.0,1.0
2023-05-30,335.23,335.74,330.52,331.21,325.625959588976,29503070,0.0,1.0
2023-05-31,332.29,335.94,327.33,328.39,322.853503425089,45546858,0.0,1.0
2023-06-01,325.93,333.53,324.72,332.58,326.972862051573,26773851,0.0,1.0
2023-06-02,334.247,337.5,332.55,335.4,329.74531821546,25873769,0.0,1.0
2023-06-05,335.22,338.5599,334.6601,335.94,330.27621407663,21307053,0.0,1.0
2023-06-06,335.33,335.37,332.17,333.68,328.054316583586,20396223,0.0,1.0
2023-06-07,331.65,334.49,322.5,323.38,317.927969602014,40717129,0.0,1.0
2023-06-08,323.935,326.64,323.35,325.26,319.776273711272,23277708,0.0,1.0
2023-06-09,324.99,329.99,324.41,326.79,321.280478651253,22528950,0.0,1.0
2023-06-12,328.58,332.0999,325.16,331.85,326.255169498511,24306753,0.0,1.0
2023-06-13,334.465,336.98,330.39,334.29,328.654032278611,22951279,0.0,1.0
2023-06-14,334.34,339.04,332.81,337.34,331.652610753737,26003791,0.0,1.0
2023-06-15,337.48,349.84,337.2,348.1,342.231202357787,38899075,0.0,1.0
2023-06-16,351.32,351.47,341.95,342.33,336.558481767139,46551985,0.0,1.0
2023-06-20,339.31,342.08,335.86,338.05,332.350640497127,26375407,0.0,1.0
2023-06-21,336.37,337.73,332.07,333.56,327.936339725548,25117799,0.0,1.0
2023-06-22,334.12,340.12,333.34,339.71,333.982653699982,23556764,0.0,1.0
2023-06-23,334.36,337.96,333.45,335.02,329.371724831674,23146901,0.0,1.0
2023-06-26,333.72,336.11,328.49,328.6,323.059962926655,21520582,0.0,1.0
2023-06-27,331.86,336.15,329.3,334.57,328.929311614032,24354110,0.0,1.0
2023-06-28,334.66,337.98,333.81,335.85,330.187731433102,20259523,0.0,1.0
2023-06-29,334.71,336.11,332.62,335.05,329.401219046183,16997042,0.0,1.0
2023-06-30,337.75,342.73,337.2,340.54,334.79866030141,26832756,0.0,1.0
2023-07-03,339.19,340.9,336.571,337.99,332.291652068108,12508692,0.0,1.0
2023-07-05,335.09,341.65,334.7276,338.15,332.448954545491,18172378,0.0,1.0
2023-07-06,337.3,342.99,335.5,341.27,335.516352854472,28195534,0.0,1.0
2023-07-07,339.32,341.79,337.0,337.22,331.534633895699,21214824,0.0,1.0
2023-07-10,334.6,335.23,327.59,331.83,326.235506688838,32791449,0.0,1.0
2023-07-11,331.06,332.86,327.0,332.47,326.864716598372,26698218,0.0,1.0
2023-07-12,336.6,341.652,335.67,337.2,331.514971086026,29995262,0.0,1.0
2023-07-13,339.56,343.74,339.02,342.66,336.882918126743,20567159,0.0,1.0
2023-07-14,347.59,351.43,344.31,345.24,339.419420574554,28352729,0.0,1.0
2023-07-17,345.678,346.99,342.2,345.73,339.901159411542,20363927,0.0,1.0
2023-07-18,345.83,366.78,342.17,359.49,353.429172466535,64872705,0.0,1.0
2023-07-19,361.75,362.46,352.435,355.08,349.093522933648,39732901,0.0,1.0
2023-07-20,353.57,357.97,345.37,346.87,341.0219395629,33778395,0.0,1.0
2023-07-21,349.15,350.3,339.83,343.77,337.974204063592,69405382,0.0,1.0
2023-07-24,345.85,346.92,342.31,345.11,339.29161231168,26719207,0.0,1.0
2023-07-25,347.11,351.89,345.07,350.98,345.062646950692,41637739,0.0,1.0
2023-07-26,341.44,344.67,333.11,337.77,332.075361161705,58383702,0.0,1.0
2023-07-27,340.48,341.33,329.05,330.72,325.144220751989,39635262,0.0,1.0
2023-07-28,333.67,340.01,333.17,338.37,332.665245451894,28484868,0.0,1.0
2023-07-31,336.92,337.695,333.36,335.92,330.256551266957,25446022,0.0,1.0
2023-08-01,335.19,338.54,333.7,336.34,330.669470270089,18381253,0.0,1.0
2023-08-02,333.63,333.63,326.3551,327.5,321.978508394643,27761257,0.0,1.0
2023-08-03,326.0,329.88,325.95,326.66,321.152670388379,18360352,0.0,1.0
2023-08-04,331.88,335.14,327.24,327.78,322.253787730064,23741484,0.0,1.0
2023-08-07,328.37,331.11,327.52,330.11,324.544505056963,17741526,0.0,1.0
2023-08-08,326.96,328.75,323.0,326.05,320.552954693354,22327574,0.0,1.0
2023-08-09,326.47,327.11,321.0499,322.23,316.797358045819,22373268,0.0,1.0
2023-08-10,326.015,328.26,321.18,322.93,317.485556384373,20113725,0.0,1.0
2023-08-11,320.26,322.41,319.21,321.01,315.597926655769,24355491,0.0,1.0
2023-08-14,321.39,324.06,320.08,324.04,318.576842321222,18836139,0.0,1.0
2023-08-15,323.0,325.09,320.9034,321.86,316.433596066869,16966285,0.0,1.0
2023-08-16,320.8,324.42,319.8035,320.4,315.666746489624,20698864,0.68,1.0
2023-08-17,320.54,321.87,316.21,316.88,312.198747277254,21257161,0.0,1.0
2023-08-18,314.49,318.38,311.5508,316.48,311.804656457666,24755012,0.0,1.0
2023-08-21,317.93,322.77,317.04,321.88,317.124882522098,24039956,0.0,1.0
2023-08-22,325.5,326.075,321.46,322.46,317.6963142105,16102024,0.0,1.0
2023-08-23,323.82,329.2,323.46,327.0,322.169245012819,21166382,0.0,1.0
2023-08-24,332.85,332.98,319.96,319.97,315.243098858568,23281434,0.0,1.0
2023-08-25,321.47,325.36,318.8001,322.98,318.208632275964,21684104,0.0,1.0
2023-08-28,325.66,326.15,321.722,323.7,318.917995751221,14808482,0.0,1.0
2023-08-29,321.88,328.9835,321.88,328.41,323.558415151865,19284590,0.0,1.0
2023-08-30,328.67,329.81,326.445,328.79,323.932801430473,15222110,0.0,1.0
2023-08-31,329.2,330.9099,326.78,327.76,322.918017570035,26410954,0.0,1.0
2023-09-01,331.31,331.99,326.78,328.66,323.804721914107,14942024,0.0,1.0
2023-09-05,329.0,334.85,328.66,333.55,328.622482183565,18553859,0.0,1.0
2023-09-06,333.38,334.46,330.18,332.88,327.962380060756,17535773,0.0,1.0
2023-09-07,331.29,333.08,329.03,329.91,325.036255725318,18380995,0.0,1.0
2023-09-08,330.09,336.16,329.46,334.27,329.331845658822,19548165,0.0,1.0
2023-09-11,337.24,338.42,335.43,337.94,332.947628928538,16583324,0.0,1.0
2023-09-12,335.815,336.79,331.48,331.77,326.8687780364,17565482,0.0,1.0
2023-09-13,331.31,336.85,331.17,336.06,331.095402076477,16544412,0.0,1.0
2023-09-14,339.148,340.86,336.57,338.7,333.696401485754,20267048,0.0,1.0
2023-09-15,336.92,337.3975,329.65,330.22,325.341676110498,37679792,0.0,1.0
2023-09-18,327.8,330.4,326.36,329.06,324.198812733695,16834208,0.0,1.0
2023-09-19,326.17,329.39,324.51,328.65,323.794869643617,16514487,0.0,1.0
2023-09-20,329.51,329.59,320.51,320.77,316.031280497743,21436525,0.0,1.0
2023-09-21,319.26,325.3499,315.0,319.53,314.809598957021,35560362,0.0,1.0
2023-09-22,321.32,321.45,316.15,317.01,312.32682679362,21447887,0.0,1.0
2023-09-25,316.59,317.67,315.0,317.54,312.848997129573,17835964,0.0,1.0
2023-09-26,315.13,315.88,310.02,312.14,307.528771065141,26297573,0.0,1.0
2023-09-27,312.3,314.299,309.69,312.79,308.169168646971,19410082,0.0,1.0
