date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,symbol,revenue,net_income,operating_income,gross_profit,total_assets,total_liabilities,long_term_debt,cash_and_equivalents,operating_cashflow,capital_expenditures,real_gdp,real_gdp_per_capita,cpi,inflation,unemployment,federal_funds_rate,retail_sales,treasury_yield_10y
2022-04-20,650.76,652.55,628.99,633.91,606.417558374075,1855326,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65774.0,289.109,8.00279982052121,3.7,0.33,582200.0,2.75
2022-04-21,645.06,648.81,617.74,619.98,593.091697308386,940668,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65774.0,289.109,8.00279982052121,3.7,0.33,582200.0,2.75
2022-04-22,615.08,620.865,607.47,607.61,581.258179621195,1093400,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65774.0,289.109,8.00279982052121,3.7,0.33,582200.0,2.75
2022-04-25,592.73,600.39,583.67,599.82,573.806029032415,2074708,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65774.0,289.109,8.00279982052121,3.7,0.33,582200.0,2.75
2022-04-26,585.15,587.48,559.9,560.43,536.124358725344,1794472,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65774.0,289.109,8.00279982052121,3.7,0.33,582200.0,2.75
2022-04-27,552.09,567.375,544.0,556.88,532.728320908891,1904378,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65774.0,289.109,8.00279982052121,3.7,0.33,582200.0,2.75
2022-04-28,574.95,595.455,564.6,590.54,564.928499191094,1516807,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65774.0,289.109,8.00279982052121,3.7,0.33,582200.0,2.75
2022-04-29,576.45,588.9,562.46,563.77,539.319504163923,1225253,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65774.0,289.109,8.00279982052121,3.7,0.33,582200.0,2.75
2022-05-02,558.74,571.52,553.54,571.09,546.322038478413,1146662,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65774.0,292.296,8.00279982052121,3.6,0.77,601192.0,2.9
2022-05-03,566.63,575.44,563.02,570.68,549.93834043775,825313,4.1902,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65774.0,292.296,8.00279982052121,3.6,0.77,601192.0,2.9
